"Gene","ProbeId","EntrezId"
"MASP2",2640400,10747
"PDDC1",3420730,347862
"LOC390427",1710762,390427
"WASH3P",460341,374666
"POFUT2",6510133,23275
"CXADR",870161,1525
"LOC728975",6040040,728975
"COLQ",4290288,8292
"GPI",4220064,2821
"LOC653567",1500739,653567
"HS.442504",1440519,NA
"HSD17B10",6100056,3028
"ARHGAP25",5290523,9938
"HMGN2",4050541,3151
"VIT",380241,5212
"LOC340549",4480138,340549
"FLT3",2850451,2322
"ZNF20",2760131,7568
"VPREB3",4640768,29802
"TH1L",4390288,51497
"PTPRF",3060398,5792
"LOC728119",1400291,728119
"HS.548787",5720603,NA
"HS.541100",2570626,NA
"MICALL1",670296,85377
"LOC646491",1510678,646491
"OR7E156P",3940201,283491
"LOC653635",2650376,653635
"C14ORF102",2680164,55051
"WFDC1",1230615,58189
"LOC653978",2490767,653978
"MGST2",1510019,4258
"GEMIN6",5080164,79833
"TWIST1",4490673,7291
"CNIH4",6400332,29097
"ACOT7",4290050,11332
"MFAP4",3060377,4239
"TGM2",1580435,7052
"ANKRD20A3",5260703,441425
"ACSL3",1580524,2181
"GSTCD",5360487,79807
"HS.539580",4040408,NA
"EGFL7",4490195,51162
"PDGFB",4040397,5155
"AKNAD1",3130605,254268
"PA2G4",5270280,5036
"MIA3",6580692,375056
"TOPBP1",870601,11073
"SIDT1",7000026,54847
"NSUN7",5870431,79730
"LOC100132541",5810369,100132541
"RPL34",2490379,6164
"LOC100133955",5360360,100133955
"LOC728979",2100019,728979
"SOX3",3310037,6658
"PILRB",4730484,29990
"ZNF576",3310414,79177
"NUCB2",60427,4925
"LOC441191",240463,441191
"C19ORF12",6370377,83636
"TIGIT",3420653,201633
"SYF2",1500647,25949
"RNF165",10019,494470
